gene_id,gene_symbol,exon_length_bp
ENSMUSG00000040359,Ufl1,35536
ENSMUSG00000040363,Bcor,117956
ENSMUSG00000040364,Sec1,54688
ENSMUSG00000040365,Trim41,9032
ENSMUSG00000040367,Lrrd1,2951
ENSMUSG00000040370,Etfrf1,36120
ENSMUSG00000040372,Gpr63,5857
ENSMUSG00000040373,Cacng5,19019
ENSMUSG00000040374,Pex2,280859
ENSMUSG00000040380,Cbln3,4866
ENSMUSG00000040383,Aqr,9942
ENSMUSG00000040385,Ppp1ca,27117
ENSMUSG00000040387,Klhl32,64190
ENSMUSG00000040389,Wdr47,101197
ENSMUSG00000040390,Map3k10,16930
ENSMUSG00000040396,Abhd13,42900
ENSMUSG00000040405,Havcr1,6183
ENSMUSG00000040407,Akap9,13123
ENSMUSG00000040410,Fbxl4,76640
ENSMUSG00000040412,Elapor1,29806
ENSMUSG00000040413,Timd2,18817
ENSMUSG00000040414,Slc25a28,23108
ENSMUSG00000040415,Dtx3,6740
ENSMUSG00000040420,Cdh18,13830
ENSMUSG00000040423,Rc3h1,32643
ENSMUSG00000040424,Hipk4,5383
ENSMUSG00000040428,Plekha4,18736
ENSMUSG00000040429,Mterf1a,15070
ENSMUSG00000040430,Pitpnc1,11906
ENSMUSG00000040432,Ltb4r2,1481
ENSMUSG00000040433,Zbtb38,54875
ENSMUSG00000040434,Large2,12236
ENSMUSG00000040435,Ppp1r15a,5147
ENSMUSG00000040441,Slc26a10,6260
ENSMUSG00000040446,Rprd1a,12950
ENSMUSG00000040447,Spns2,39348
ENSMUSG00000040451,Sgms1,252356
ENSMUSG00000040452,Cdh12,42821
ENSMUSG00000040455,Usp45,21004
ENSMUSG00000040456,H2ap,581
ENSMUSG00000040459,Arglu1,16083
ENSMUSG00000040462,Os9,42649
ENSMUSG00000040463,Mybbp1a,48003
ENSMUSG00000040464,Gtpbp10,33654
ENSMUSG00000040466,Blvrb,11381
ENSMUSG00000040471,Ggt6,5560
ENSMUSG00000040472,Rabggta,26657
ENSMUSG00000040473,Cfap69,28980
ENSMUSG00000040478,Prdm13,6346
ENSMUSG00000040479,Dgkz,106451
ENSMUSG00000040481,Bptf,35375
ENSMUSG00000040482,Dxo,11369
ENSMUSG00000040483,Xaf1,13976
ENSMUSG00000040485,Lrrc52,2523
ENSMUSG00000040488,Ltbp4,145607
ENSMUSG00000040489,Sox30,3083
ENSMUSG00000040490,Lrfn2,3212
ENSMUSG00000040495,Chrm4,1440
ENSMUSG00000040498,Igsf23,4485
ENSMUSG00000040502,Marchf9,3159
ENSMUSG00000040505,Abcg5,7827
ENSMUSG00000040506,Ambra1,45464
ENSMUSG00000040511,Pvr,9200
ENSMUSG00000040514,Tex47,7802
ENSMUSG00000040520,Manea,29688
ENSMUSG00000040521,Tsfm,12823
ENSMUSG00000040522,Tlr8,9641
ENSMUSG00000040524,Zfp609,11820
ENSMUSG00000040525,Cblc,7212
ENSMUSG00000040528,Milr1,19128
ENSMUSG00000040532,Abhd11,30234
ENSMUSG00000040533,Matn1,8953
ENSMUSG00000040536,Necab1,42208
ENSMUSG00000040537,Adam22,141443
ENSMUSG00000040541,Tmem225,4038
ENSMUSG00000040543,Pitpnm3,75646
ENSMUSG00000040548,Tex2,101698
ENSMUSG00000040549,Ckap5,55092
ENSMUSG00000040550,Otud6b,22336
ENSMUSG00000040552,C3ar1,5011
ENSMUSG00000040554,Aipl1,7144
ENSMUSG00000040557,Mettl27,46591
ENSMUSG00000040560,Wdr7,55586
ENSMUSG00000040562,Gstm2,11490
ENSMUSG00000040563,Plppr2,66425
ENSMUSG00000040564,Apoc1,8293
ENSMUSG00000040565,Btaf1,7211
ENSMUSG00000040569,Slc26a7,5179
ENSMUSG00000040570,Rundc3b,38579
ENSMUSG00000040576,Tmem270,5736
ENSMUSG00000040583,Cyp2b13,1875
ENSMUSG00000040584,Abcb1a,17296
ENSMUSG00000040586,Ofd1,12447
ENSMUSG00000040591,Cstpp1,21761
ENSMUSG00000040592,Cd79b,3984
ENSMUSG00000040594,Ranbp17,44236
ENSMUSG00000040596,Pogk,127506
ENSMUSG00000040599,Mis12,30139
ENSMUSG00000040600,Eps8l3,2271
ENSMUSG00000040601,Nlrp4a,11885
ENSMUSG00000040605,Bace2,25354
ENSMUSG00000040606,Kazn,12564
ENSMUSG00000040610,Tlx3,1557
ENSMUSG00000040612,Ildr2,91888
ENSMUSG00000040613,Apobec1,31081
ENSMUSG00000040614,Nlrp9c,5847
ENSMUSG00000040616,Tmem51,34751
ENSMUSG00000040618,Pck2,28950
ENSMUSG00000040620,Dhx33,35238
ENSMUSG00000040621,Gemin8,18596
ENSMUSG00000040624,Plekhg1,26464
ENSMUSG00000040627,Aicda,4801
ENSMUSG00000040629,Mael,5199
ENSMUSG00000040631,Dok4,55094
ENSMUSG00000040632,Nrl,7410
ENSMUSG00000040640,Erc2,104536
ENSMUSG00000040648,Ppip5k2,371693
ENSMUSG00000040649,Rimklb,51974
ENSMUSG00000040650,Cyp2b23,2189
ENSMUSG00000040651,Tasor,30068
ENSMUSG00000040652,Oaz2,2646
ENSMUSG00000040653,Ppp1r14c,19461
ENSMUSG00000040658,Dnph1,6957
ENSMUSG00000040659,Efhd2,2381
ENSMUSG00000040660,Cyp2b9,5976
ENSMUSG00000040661,Rad54l2,15740
ENSMUSG00000040663,Clcf1,4169
ENSMUSG00000040666,Sh3bgr,34335
ENSMUSG00000040667,Nup88,57878
ENSMUSG00000040669,Phc1,128920
ENSMUSG00000040675,Mthfd1l,68699
ENSMUSG00000040680,Kremen2,8790
ENSMUSG00000040681,Hmgn1,28800
ENSMUSG00000040687,Madd,622079
ENSMUSG00000040688,Tbl3,54344
ENSMUSG00000040690,Col16a1,22687
ENSMUSG00000040693,Slco4c1,4908
ENSMUSG00000040694,Apobec2,12978
ENSMUSG00000040697,Dnajc16,23415
ENSMUSG00000040699,Limd2,31474
ENSMUSG00000040701,Ap1g2,29057
ENSMUSG00000040703,Cyp2s1,14913
ENSMUSG00000040706,Agmat,2838
ENSMUSG00000040710,St8sia4,30610
ENSMUSG00000040711,Sh3pxd2b,22284
ENSMUSG00000040712,Camta2,136093
ENSMUSG00000040713,Creg1,16242
ENSMUSG00000040714,Klc3,22086
ENSMUSG00000040717,Il17rd,37650
ENSMUSG00000040720,Virma,29630
ENSMUSG00000040721,Zfhx2,20794
ENSMUSG00000040722,Scamp5,151215
ENSMUSG00000040723,Rcsd1,32596
ENSMUSG00000040724,Kcna2,82845
ENSMUSG00000040725,Hnrnpul1,28796
ENSMUSG00000040726,Hesx1,5598
ENSMUSG00000040728,Esrp1,25892
ENSMUSG00000040729,Cep126,23116
ENSMUSG00000040731,Eif4h,21945
ENSMUSG00000040732,Erg,27563
ENSMUSG00000040734,Ppp1r13l,12005
ENSMUSG00000040738,Ints8,15411
ENSMUSG00000040740,Slc25a34,8110
ENSMUSG00000040746,Rnf167,18279
ENSMUSG00000040747,Cd53,11306
ENSMUSG00000040749,Siah1b,30800
ENSMUSG00000040751,Lat2,21612
ENSMUSG00000040752,Myh6,356989
ENSMUSG00000040759,Cmtm5,5041
ENSMUSG00000040760,Appl1,43323
ENSMUSG00000040761,Spen,24529
ENSMUSG00000040767,Snrnp25,2494
ENSMUSG00000040770,Il25,1064
ENSMUSG00000040771,Oard1,34138
ENSMUSG00000040774,Cept1,85129
ENSMUSG00000040782,Cop1,94546
ENSMUSG00000040785,Ttc3,71246
ENSMUSG00000040794,C1qtnf4,56071
ENSMUSG00000040795,Iqcc,7325
ENSMUSG00000040797,Iqsec3,34280
ENSMUSG00000040808,S100g,6351
ENSMUSG00000040809,Chil3,6212
ENSMUSG00000040811,Eml2,13946
ENSMUSG00000040812,Agbl2,25031
ENSMUSG00000040813,Tex264,66091
ENSMUSG00000040818,Dennd6a,65263
ENSMUSG00000040820,Hlcs,39533
ENSMUSG00000040822,1700123O20Rik,14412
ENSMUSG00000040824,Snrpd2,7276
ENSMUSG00000040828,Catsperd,3132
ENSMUSG00000040829,Zmynd15,18856
ENSMUSG00000040836,Gpr161,42250
ENSMUSG00000040841,Six5,3007
ENSMUSG00000040842,Szrd1,12828
ENSMUSG00000040843,Tiprl,21460
ENSMUSG00000040848,Sft2d2,29035
ENSMUSG00000040850,Psme4,44958
ENSMUSG00000040852,Plekhh2,31255
ENSMUSG00000040855,Reps2,146445
ENSMUSG00000040856,Dlk1,30150
ENSMUSG00000040857,Erf,5557
ENSMUSG00000040859,Bsdc1,13654
ENSMUSG00000040860,Crocc,44113
ENSMUSG00000040865,Ino80d,40877
ENSMUSG00000040866,Rsph6a,9444
ENSMUSG00000040867,Begain,28090
ENSMUSG00000040875,Osbpl10,20682
ENSMUSG00000040877,Wdr25,23592
ENSMUSG00000040883,Tmem205,24987
ENSMUSG00000040888,Gfer,21458
ENSMUSG00000040891,Foxa3,2045
ENSMUSG00000040896,Kcnd3,21536
ENSMUSG00000040899,Ccr6,16332
ENSMUSG00000040901,Kcnk18,3470
ENSMUSG00000040904,Gm21988,1621
ENSMUSG00000040907,Atp1a3,37946
ENSMUSG00000040913,Fbxw4,28889
ENSMUSG00000040918,Slc19a2,25568
ENSMUSG00000040919,Cimip6,904
ENSMUSG00000040928,S100pbp,27434
ENSMUSG00000040929,Rfx3,86216
ENSMUSG00000040935,Padi6,2333
ENSMUSG00000040936,Ulk4,31615
ENSMUSG00000040938,Slc16a11,23230
ENSMUSG00000040940,Arhgef1,166143
ENSMUSG00000040943,Tet2,85413
ENSMUSG00000040945,Rcc2,37184
ENSMUSG00000040950,Mgl2,8704
ENSMUSG00000040952,Rps19,2956
ENSMUSG00000040957,Cables1,34694
ENSMUSG00000040963,Asgr2,3826
ENSMUSG00000040964,Arhgef10l,203788
ENSMUSG00000040966,Slc22a2,6074
ENSMUSG00000040969,Arhgef38,9606
ENSMUSG00000040972,Igsf21,13214
ENSMUSG00000040978,Gm11992,2421
ENSMUSG00000040985,Sun3,5223
ENSMUSG00000040987,Mill2,36134
ENSMUSG00000040990,Sh3kbp1,72632
ENSMUSG00000040997,Abhd4,20860
ENSMUSG00000040998,Npnt,65908
ENSMUSG00000041000,Trim62,13564
ENSMUSG00000041009,Iqcf4,1510
ENSMUSG00000041012,Cmtm8,5429
ENSMUSG00000041014,Nrg3,31657
ENSMUSG00000041020,Map7d2,94298
ENSMUSG00000041025,Iffo2,24504
ENSMUSG00000041028,Ghitm,92281
ENSMUSG00000041035,Dpcd,13943
ENSMUSG00000041037,Irgq,24946
ENSMUSG00000041040,Fam117b,21889
ENSMUSG00000041044,Lrit1,4325
ENSMUSG00000041046,Ramp3,3710
ENSMUSG00000041052,Slc7a13,2141
ENSMUSG00000041057,Wdr43,48481
ENSMUSG00000041058,Wwp1,145486
ENSMUSG00000041062,Mslnl,8913
ENSMUSG00000041064,Pif1,32553
ENSMUSG00000041068,4930596D02Rik,1160
ENSMUSG00000041073,Nacad,4892
ENSMUSG00000041075,Fzd7,10680
ENSMUSG00000041078,Grid1,6016
ENSMUSG00000041079,Rwdd2b,12720
ENSMUSG00000041084,Ostc,4167
ENSMUSG00000041096,Tspyl2,40348
ENSMUSG00000041112,Elmo1,93326
ENSMUSG00000041115,Iqsec2,31265
ENSMUSG00000041117,Ccdc8,9618
ENSMUSG00000041119,Pde9a,37860
ENSMUSG00000041120,Nbl1,76203
ENSMUSG00000041124,Msantd4,29289
ENSMUSG00000041126,H2az2,16316
ENSMUSG00000041130,Zfp598,23358
ENSMUSG00000041132,N4bp2l1,12174
ENSMUSG00000041133,Smc1a,36572
ENSMUSG00000041134,Cyyr1,8289
ENSMUSG00000041135,Ripk2,9058
ENSMUSG00000041138,Nme8,4544
ENSMUSG00000041141,Pnma8a,25861
ENSMUSG00000041143,Tmco4,47976
ENSMUSG00000041144,Dnah7b,24637
ENSMUSG00000041147,Brca2,81399
ENSMUSG00000041153,Osgin2,13964
ENSMUSG00000041161,Otud3,5391
ENSMUSG00000041164,Zmiz2,77920
ENSMUSG00000041165,Spem1,2041
ENSMUSG00000041168,Lonp1,63587
ENSMUSG00000041180,Hectd2,14136
ENSMUSG00000041187,Prkd2,14058
ENSMUSG00000041189,Chrnb1,16298
ENSMUSG00000041193,Pla2g5,26396
ENSMUSG00000041199,Rpusd1,16066
ENSMUSG00000041202,Pla2g2d,4294
ENSMUSG00000041203,Trir,4786
ENSMUSG00000041205,Map6d1,9889
ENSMUSG00000041215,Yeats2,82452
ENSMUSG00000041216,Clvs1,25996
ENSMUSG00000041219,Arhgap11a,18625
ENSMUSG00000041220,Elovl6,46524
ENSMUSG00000041225,Arhgap12,118353
ENSMUSG00000041229,Phf8,80074
ENSMUSG00000041231,Ublcp1,45697
ENSMUSG00000041235,Chd7,27704
ENSMUSG00000041236,Vps41,163762
ENSMUSG00000041237,Pklr,6935
ENSMUSG00000041238,Rbbp8,39779
ENSMUSG00000041241,Mul1,19093
ENSMUSG00000041245,Wnk3,10647
ENSMUSG00000041247,Lamp3,3356
ENSMUSG00000041248,Kcnj1,7371
ENSMUSG00000041255,Tmco5b,4885
ENSMUSG00000041258,Zfp236,24349
ENSMUSG00000041261,Car8,36726
ENSMUSG00000041263,Rusc1,79658
ENSMUSG00000041264,Uspl1,53082
ENSMUSG00000041268,Dmxl2,36783
ENSMUSG00000041272,Tox,15798
ENSMUSG00000041278,Ttc1,17556
ENSMUSG00000041287,Sox15,2177
ENSMUSG00000041293,Adgrf1,3853
ENSMUSG00000041297,Cdk13,29024
ENSMUSG00000041298,Katnal1,69329
ENSMUSG00000041301,Cftr,13563
ENSMUSG00000041303,Gtf3c3,27826
ENSMUSG00000041308,Sntb2,29578
ENSMUSG00000041309,Nkx6-2,1299
ENSMUSG00000041313,Slc7a1,50790
ENSMUSG00000041319,Thoc6,16814
ENSMUSG00000041323,Ak7,10550
ENSMUSG00000041324,Inhba,31572
ENSMUSG00000041328,Pcf11,8266
ENSMUSG00000041329,Atp1b2,14930
ENSMUSG00000041333,Mup4,922
ENSMUSG00000041341,Atg2b,36428
ENSMUSG00000041343,Ankrd42,29644
ENSMUSG00000041346,Wrap53,5569
ENSMUSG00000041347,Bdkrb1,4347
ENSMUSG00000041351,Rap1gap,28336
ENSMUSG00000041353,Vcf2,43988
ENSMUSG00000041354,Rgl2,28575
ENSMUSG00000041355,Ssr2,117200
ENSMUSG00000041358,Nutm1,3731
ENSMUSG00000041359,Tcl1,11599
ENSMUSG00000041360,Pum3,191844
ENSMUSG00000041361,Myzap,30339
ENSMUSG00000041362,Shtn1,18858
ENSMUSG00000041372,B4galnt3,11183
ENSMUSG00000041375,Ccdc9,24137
ENSMUSG00000041377,Ninj2,5517
ENSMUSG00000041378,Cldn5,1416
ENSMUSG00000041380,Htr2c,20449
ENSMUSG00000041390,Mdfic,14150
ENSMUSG00000041396,Mettl18,8605
ENSMUSG00000041399,1700013G24Rik,7303
ENSMUSG00000041406,Firrm,23239
ENSMUSG00000041408,Wapl,82835
ENSMUSG00000041415,Dicer1,9851
ENSMUSG00000041417,Pik3r1,18717
ENSMUSG00000041420,Meis3,42439
ENSMUSG00000041423,Paqr6,25647
ENSMUSG00000041426,Hibch,61914
ENSMUSG00000041429,Nthl1,11459
ENSMUSG00000041431,Ccnb1,48591
ENSMUSG00000041438,Utp4,49240
ENSMUSG00000041439,Mfsd6,36647
ENSMUSG00000041440,Gk5,9591
ENSMUSG00000041444,Arhgap32,61466
ENSMUSG00000041445,Mmrn2,16217
ENSMUSG00000041453,Rpl21,12788
ENSMUSG00000041459,Tardbp,36012
ENSMUSG00000041460,Cacna2d4,20612
ENSMUSG00000041468,Gpr12,47515
ENSMUSG00000041471,Shld2,57016
ENSMUSG00000041476,Smpx,21780
ENSMUSG00000041477,Dcp1b,26090
ENSMUSG00000041479,Syt15,9042
ENSMUSG00000041481,Serpina3g,19103
ENSMUSG00000041482,Piezo2,40345
ENSMUSG00000041483,Zfp281,15968
ENSMUSG00000041488,Stx3,28689
ENSMUSG00000041491,Cep78,61448
ENSMUSG00000041498,Kif14,12686
ENSMUSG00000041505,Gm3402,3059
ENSMUSG00000041506,Rrp9,6433
ENSMUSG00000041515,Irf8,23787
ENSMUSG00000041523,Upk2,2134
ENSMUSG00000041528,Rnf123,233248
ENSMUSG00000041530,Ago1,21763
ENSMUSG00000041534,Rbp3,5295
ENSMUSG00000041536,Serpina3a,4281
ENSMUSG00000041538,H2-Ob,16280
ENSMUSG00000041540,Sox5,159548
ENSMUSG00000041544,Disp3,129162
ENSMUSG00000041548,Hspb8,5880
ENSMUSG00000041550,Serpina5,4366
ENSMUSG00000041552,Ptchd1,10149
ENSMUSG00000041556,Fbxo2,11014
ENSMUSG00000041559,Fmod,15498
ENSMUSG00000041560,Nop53,23723
ENSMUSG00000041565,L3mbtl4,4239
ENSMUSG00000041566,Tssk1,3700
ENSMUSG00000041567,Serpina12,3694
ENSMUSG00000041570,Camsap2,61867
ENSMUSG00000041571,Selenow,736
ENSMUSG00000041577,Prelp,64461
ENSMUSG00000041578,Crx,8548
ENSMUSG00000041583,Obox6,2843
ENSMUSG00000041592,Sdk2,11287
ENSMUSG00000041594,Tmtc4,79715
ENSMUSG00000041598,Cdc42ep4,31259
ENSMUSG00000041605,Inava,8965
ENSMUSG00000041607,Mbp,128306
ENSMUSG00000041608,Entpd3,22780
ENSMUSG00000041609,Bicdl1,6475
ENSMUSG00000041616,Nppa,5907
ENSMUSG00000041617,Ccdc74a,8404
ENSMUSG00000041620,Mmp1b,1449
ENSMUSG00000041623,Mtnap1,26336
ENSMUSG00000041624,Gucy1a2,13248
ENSMUSG00000041625,Ggact,6839
ENSMUSG00000041629,Vcf1,8846
ENSMUSG00000041632,Mrps27,17277
ENSMUSG00000041633,Kctd12b,14582
ENSMUSG00000041638,Gcn1,9361
ENSMUSG00000041642,Kif21b,42935
ENSMUSG00000041644,Slc5a12,11132
ENSMUSG00000041645,Ddx24,49573
ENSMUSG00000041649,Klf8,167002
ENSMUSG00000041650,Pcca,71095
ENSMUSG00000041653,Pnpla3,17030
ENSMUSG00000041654,Slc39a11,340054
ENSMUSG00000041658,Rragb,27992
ENSMUSG00000041660,Bbox1,12827
ENSMUSG00000041669,Prima1,11002
ENSMUSG00000041670,Rims1,59007
ENSMUSG00000041671,Pyroxd1,12988
ENSMUSG00000041673,Lrrc18,15849
ENSMUSG00000041679,Fbxl9,17667
ENSMUSG00000041681,Iapp,840
ENSMUSG00000041684,Bivm,126546
ENSMUSG00000041685,Fcho2,57878
ENSMUSG00000041688,Amot,13504
ENSMUSG00000041695,Kcnj2,5471
ENSMUSG00000041696,Rasl12,13655
ENSMUSG00000041697,Cox6a1,3909
ENSMUSG00000041698,Slco1a1,15481
ENSMUSG00000041700,Lhfpl1,9348
ENSMUSG00000041702,Btbd7,30783
ENSMUSG00000041703,Zic5,4784
ENSMUSG00000041707,Tmem273,4234
ENSMUSG00000041708,Mpped1,151308
ENSMUSG00000041710,Trpc5,8214
ENSMUSG00000041712,Ubr7,24796
ENSMUSG00000041716,Gm20604,2795
ENSMUSG00000041718,Alg13,78236
ENSMUSG00000041720,Pi4ka,104365
ENSMUSG00000041722,Khdc1c,1946
ENSMUSG00000041729,Coro2b,24836
ENSMUSG00000041730,Drgx,14017
ENSMUSG00000041731,Pgm5,3249
ENSMUSG00000041733,Coq5,22293
ENSMUSG00000041734,Kirrel1,61057
ENSMUSG00000041735,AAdacl4fm3,1227
ENSMUSG00000041736,Tspo,16659
ENSMUSG00000041737,Tmem45b,9162
ENSMUSG00000041740,Rnf10,116631
ENSMUSG00000041741,Pde3a,12409
ENSMUSG00000041747,Utp15,50658
ENSMUSG00000041750,Cd1d2,2658
ENSMUSG00000041754,Trem3,1011
ENSMUSG00000041757,Plekha6,96236
ENSMUSG00000041762,Gpr155,70476
ENSMUSG00000041763,Tpp2,63778
ENSMUSG00000041765,Ubac2,51256
ENSMUSG00000041769,Ppp2r2d,23710
ENSMUSG00000041771,Slc24a4,21504
ENSMUSG00000041773,Enc1,41351
ENSMUSG00000041774,Ydjc,16703
ENSMUSG00000041775,Mapk1ip1,15974
ENSMUSG00000041777,Cir1,3579
ENSMUSG00000041779,Tram2,19297
ENSMUSG00000041781,Cpsf2,64316
ENSMUSG00000041782,Lad1,8985
ENSMUSG00000041791,Capza3,1222
ENSMUSG00000041794,Myrip,30034
ENSMUSG00000041797,Abca9,41132
ENSMUSG00000041798,Gck,13488
ENSMUSG00000041801,Phlda3,2295
ENSMUSG00000041805,Pramel1,2811
ENSMUSG00000041809,Efhc1,12301
ENSMUSG00000041815,Poldip3,30741
ENSMUSG00000041817,Fam169a,98802
ENSMUSG00000041827,Oasl1,8610
ENSMUSG00000041828,Abca8a,6162
ENSMUSG00000041831,Sytl3,13277
ENSMUSG00000041836,Ptpre,42902
ENSMUSG00000041837,Pdcd7,4948
ENSMUSG00000041840,Haus1,16210
ENSMUSG00000041841,Rpl37,24335
ENSMUSG00000041842,Fhdc1,13603
ENSMUSG00000041845,Rhod,5589
ENSMUSG00000041846,Ppp4r3a,41007
ENSMUSG00000041849,Card6,20414
ENSMUSG00000041852,Tcf20,29962
ENSMUSG00000041857,Oosp1,1589
ENSMUSG00000041859,Mcm3,27798
ENSMUSG00000041870,Ankrd13a,18395
ENSMUSG00000041872,Il17f,2457
ENSMUSG00000041879,Ipo9,76344
ENSMUSG00000041881,Ndufa7,7901
ENSMUSG00000041885,Or56a41,936
ENSMUSG00000041886,Macc1,33088
ENSMUSG00000041889,Shisa4,11715
ENSMUSG00000041890,Git2,60892
ENSMUSG00000041891,Lman1,13534
ENSMUSG00000041895,Wipi1,35003
ENSMUSG00000041907,Gpr45,5322
ENSMUSG00000041911,Dlx1,8063
ENSMUSG00000041912,Tdrkh,113313
ENSMUSG00000041915,Ammecr1l,87629
ENSMUSG00000041920,Slc16a6,40690
ENSMUSG00000041921,Metap1d,44587
ENSMUSG00000041923,Nol4,113901
ENSMUSG00000041926,Rnpep,20183
ENSMUSG00000041930,Fam222a,7525
ENSMUSG00000041935,Rimoc1,31302
ENSMUSG00000041936,Agrn,75305
ENSMUSG00000041939,Mvk,102311
ENSMUSG00000041945,Mfsd9,3160
ENSMUSG00000041949,Tango6,55475
ENSMUSG00000041954,Tnfrsf18,3427
ENSMUSG00000041957,Pkp2,13998
ENSMUSG00000041958,Pigs,28862
ENSMUSG00000041959,S100a10,31455
ENSMUSG00000041961,Znrf3,22339
ENSMUSG00000041966,Dcaf17,48130
ENSMUSG00000041974,Spidr,31123
ENSMUSG00000041975,Mettl8,47826
ENSMUSG00000041977,Arhgef11,139188
ENSMUSG00000041984,Rptn,4146
ENSMUSG00000041986,Elmod1,25188
ENSMUSG00000041991,Hrnr,21843
ENSMUSG00000041992,Rapgef5,25552
ENSMUSG00000041995,Zbed3,4270
ENSMUSG00000041997,Tlk1,31126
ENSMUSG00000042002,Foxn4,3047
ENSMUSG00000042010,Acacb,53613
ENSMUSG00000042015,Wdr41,20112
ENSMUSG00000042029,Ncapg2,32914
ENSMUSG00000042031,Lce3b,562
ENSMUSG00000042032,Mat2b,20205
ENSMUSG00000042035,Igsf3,33186
ENSMUSG00000042041,2010003K11Rik,2865
ENSMUSG00000042042,Csgalnact2,79622
ENSMUSG00000042043,Tbca,3740
ENSMUSG00000042045,Sln,6721
ENSMUSG00000042046,Dstyk,37403
ENSMUSG00000042050,Dync2i1,46701
ENSMUSG00000042055,Wdr11,18703
ENSMUSG00000042063,Zfp386,47915
ENSMUSG00000042064,Myo3b,13791
ENSMUSG00000042066,Tmcc2,32361
ENSMUSG00000042073,Abhd14b,28840
ENSMUSG00000042078,Svop,30906
ENSMUSG00000042079,Hnrnpf,174958
ENSMUSG00000042082,Arsb,25503
ENSMUSG00000042092,Lce1c,724
ENSMUSG00000042096,Dao,5677
ENSMUSG00000042097,Zfp239,95891
ENSMUSG00000042099,Kank3,73939
ENSMUSG00000042102,Dmgdh,9785
ENSMUSG00000042104,Uggt2,21109
ENSMUSG00000042105,Inpp5f,33867
ENSMUSG00000042106,Inka1,1268
ENSMUSG00000042109,Csdc2,20151
ENSMUSG00000042111,Ccdc115,8982
ENSMUSG00000042115,Klhdc8a,32075
ENSMUSG00000042116,Vwa1,15329
ENSMUSG00000042118,Bhmt2,8490
ENSMUSG00000042121,Ssh1,41944
ENSMUSG00000042124,Lce1f,1370
ENSMUSG00000042129,Rassf4,14294
ENSMUSG00000042133,Ppig,127145
ENSMUSG00000042138,Msantd2,13626
ENSMUSG00000042148,Cox10,24520
ENSMUSG00000042155,Klhl23,48578
ENSMUSG00000042156,Dzip1,57787
ENSMUSG00000042157,Sprr2i,617
ENSMUSG00000042165,Adrm1b,1392
ENSMUSG00000042167,Tent2,80350
ENSMUSG00000042178,Armc5,29911
ENSMUSG00000042179,Pnliprp1,5628
ENSMUSG00000042182,Bend6,51228
ENSMUSG00000042185,Nfrkb,66464
ENSMUSG00000042189,Tekt3,1748
ENSMUSG00000042190,Cmklr1,14880
ENSMUSG00000042195,Slc35f2,8277
ENSMUSG00000042197,Zfp451,89646
ENSMUSG00000042198,Chchd7,12185
ENSMUSG00000042200,Cdrt4,2234
ENSMUSG00000042202,Slc35e2,45751
ENSMUSG00000042203,Tbc1d22b,19767
ENSMUSG00000042207,Kdm5b,74349
ENSMUSG00000042208,Sanbr,91900
ENSMUSG00000042210,Abhd14a,42251
ENSMUSG00000042211,Fbxo38,267661
ENSMUSG00000042212,Sprr2d,681
ENSMUSG00000042213,Zfand4,39342
ENSMUSG00000042215,Bag2,7678
ENSMUSG00000042216,Sgsm1,55671
ENSMUSG00000042219,Or51m1,960
ENSMUSG00000042225,Ammecr1,12391
ENSMUSG00000042228,Lyn,46697
ENSMUSG00000042229,Rabif,9379
ENSMUSG00000042240,Crybb2,1637
ENSMUSG00000042243,BC051665,1348
ENSMUSG00000042244,Pglyrp3,1107
ENSMUSG00000042246,Tmc7,23082
ENSMUSG00000042248,Cyp2c37,6491
ENSMUSG00000042249,Grk3,85693
ENSMUSG00000042250,Pglyrp4,4455
ENSMUSG00000042251,Pm20d1,29890
ENSMUSG00000042254,Cilp,13066
ENSMUSG00000042256,Ptchd4,13302
ENSMUSG00000042258,Isl1,3724
ENSMUSG00000042262,Ccr8,1466
ENSMUSG00000042265,Trem1,5659
ENSMUSG00000042268,Slc26a9,5586
ENSMUSG00000042269,Cibar2,1187
ENSMUSG00000042271,Nxt2,15062
ENSMUSG00000042272,Sestd1,101057
ENSMUSG00000042275,Pelo,2003
ENSMUSG00000042279,H1f8,2240
ENSMUSG00000042282,Gucy2f,17956
ENSMUSG00000042284,Itga1,27945
ENSMUSG00000042286,Stab1,7999
ENSMUSG00000042289,Hsd3b7,19702
ENSMUSG00000042292,Mrtfa,21611
ENSMUSG00000042293,Gm5617,531
ENSMUSG00000042298,Ttc19,66941
ENSMUSG00000042302,Ehbp1,61180
ENSMUSG00000042303,Sgsm3,126664
ENSMUSG00000042305,Tmem183a,59592
ENSMUSG00000042306,S100a14,6774
ENSMUSG00000042308,Setd1a,12494
ENSMUSG00000042312,S100a13,29172
ENSMUSG00000042320,Prox2,7323
ENSMUSG00000042323,Pbrm1,241420
ENSMUSG00000042328,Hps4,58460
ENSMUSG00000042331,Specc1,91127
ENSMUSG00000042333,Tnfrsf14,5127
ENSMUSG00000042340,Ctf1,9752
ENSMUSG00000042345,Ubash3a,16038
ENSMUSG00000042348,Arl15,10123
ENSMUSG00000042349,Ikbke,25420
ENSMUSG00000042350,Arel1,174421
ENSMUSG00000042351,Grap2,11758
ENSMUSG00000042353,Frem3,6384
ENSMUSG00000042354,Gnl3,13474
ENSMUSG00000042357,Gjb5,3107
ENSMUSG00000042359,Osbpl6,420146
ENSMUSG00000042363,Lgalsl,18371
ENSMUSG00000042364,Snx18,19503
